"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"22/01324/NON/1","Approved","Approved","18/03/2026","Brentwood Borough Council","non_material_amendment","essex","brentwood","Land Off Chelmsford Road Shenfield","","Non material amendment to application 22/01324/FUL (Construction of 191 dwellings (Class C3), public open space, landscaping, sustainable urban drainage, access and associated infrastructure) to allow for enlargement of the front first-floor windows and an amendment to the second-floor front dormers which have been updated to have square leaded windows to match the style of the ground and first floor windows on the property (lambourne house type).","191","97410000","68187000","510000","","","","","https://publicaccess.brentwood.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC3SK4DJK8W00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0583/AME","Permitted","Permitted","13/02/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land North Of Candlet Road, Phase 2 Felixstowe Suffolk","","Non-Material Amendment of DC/22/3182/ARM - Approval of Reserved Matters relating to Outline Planning Consent DC/15/1128/OUT - Phase 2 - Residential (305 Dwellings, open space and supporting services and infrastructure), land off Candlet Road, Felixstowe - amend the materials and character area of plot 54. Plots 54 was approved as being located within the Rural Green Edge character area with traditional material treatments. This NMA seeks to amend the character area of plot 54 to the Urban Green along with the associated contemporary material treatments.","305","86925000","60847500","285000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TAE2D2QXGWX00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1041/AME","Permitted","Permitted","17/03/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land Between High Street And Chapel Lane Pettistree Suffolk","","Non Material Amendment of DC/20/3264/FUL - A phased development comprising Hybrid Planning Application: (i) Full Planning Application - Residential development of 129 dwellings (including affordable housing) together with public open space, roads, accesses, parking garages, drainage and associated infrastructure; (ii) Outline Planning Application - seven No. serviced Self Build Plots with associated access and infrastructure at Land between High Street and Chapel Lane, Pettistree, IP13 0HQ - Addition of PV to 15 No Specific Plots - 71, 72, 73, 74, 75, 78, 89, 90, 91, 92, 93, 99, 100, 101 & 102. Previously approved house type elevation drawings updated to reference PV to the above specific plots.","129","36765000","25735500","285000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1K13QXHLK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/01959/AMD1","Approved","Approved","11/02/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Langford Bridge Farm Kingskerswell Road Newton Abbot TQ12 5LA","TQ12 5LA","Non-material amendment (amendments to plots 42, 46, 58, 62, 63 & 83 to finish in natural stone) on planning permission 24/01959/MAJ - Reserved Matters application (appearance, landscaping, layout and scale) for the construction of 88 dwellings including 20% affordable housing, landscaping, public open space and associated site infrastructure; pursuant to Outline Planning Permission 19/00238/MAJ.","88","25520000","17864000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TAAH7NPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0656/DRC","Permitted","Permitted","18/02/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land South Of Primary School And East Of The Street Eyke Suffolk IP12 2QW","IP12 2QW","Discharge of Condition No. 13 of DC/22/4775/FUL - Full planning application for erection of 65 dwellings (Use Class C3); change of use of Agricultural Land to provide for the expansion of the adjacent Eyke CE Primary School site (Use Class F1(a)); vehicular and pedestrian access from The Street; internal access road; car and cycle parking; Local Equipped Area for Play (LEAP); public open space; landscaping; Sustainable Urban Drainage Systems; and associated infrastructure including highway works - Playscape Plan","65","18525000","12967500","285000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TANMSXQXH0500","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/00137/AMD1","Approved","Approved","16/03/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Land At Ngr 281169 79019 Southbrook Road Bovey Tracey","","Non-material amendment (change plot 14 from HT-G+ to HT-F and to relocate garage on plot 27) on planning application 19/00137/MAJ for Hybrid planning application comprising a full application for 63 dwellings, together with access, landscaping, open space and associated infrastructure and an outline application for 3 self/custom build plots, with all matters reserved except for access.","63","18270000","12789000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1E7DPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/04151/NMA01","Granted","Granted","17/03/2026","City of Bradford","non_material_amendment","west-yorkshire","bradford","Land Off Moss Carr Road Long Lee Keighley West Yorkshire","","Non material amendment to wording of condition 3 (plans) of planning permission 19/04151/MAO - Outline application for residential development of land for up to 103 dwellings requesting consideration of access. Amendment requested to remove reference to 'General' plan on condition 3 of this permission","103","15965000","11175500","155000","","","","","https://planning.bradford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TC1PM5DHGDM00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0940/DRC","Permitted","Permitted","09/03/2026","East Suffolk Council","condition_discharge","suffolk","felixstowe","Land South Of Halesworth Road Reydon Suffolk","","Part Discharge of Condition No. 2 of DC/22/0462/ARM - Approval of Reserved Matters of DC/15/3288/OUT - Outline application to enable improvements to Saint Felix School to include residential development, public open space and associated infrastructure on the former playing field at Saint Felix School. Appearance, landscaping, layout and scale, pursuant to outline permission DC/15/3288/OUT for the development of 55 dwellings. - 2 External Materials for plots 2, 22, 26, 41, 35, 48","55","15675000","10972500","285000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TBN1RXQXHFL00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/0775/AME","Permitted","Permitted","26/02/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South Of Hall Lane Oulton Lowestoft Suffolk NR32 3QG","NR32 3QG","Non Material Amendment of DC/22/2876/ARM - Approval of Reserved Matters Planning Application for 51 dwellings in Phase 3A, pursuant to S73 Application DC/15/0324/VOC, which was permitted on 20th May 2015 and succeeded Outline consent DC/01/0977/OUT for a 'mixed use development comprising of residential, neighbourhood shopping centre, community hall, primary school, play areas and country park - Amendments to footpath to protect TPO.","51","14535000","10174500","285000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TB27SCQXH6M00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"13/01123/NMAM_3","Application Permitted","Application Permitted","16/04/2026","King's Lynn & West Norfolk Borough Council","non_material_amendment","norfolk","kings-lynn","Site At (Former) Fosters Sports Ground Wickets Lane Clenchwarton Norfolk","","NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 13/01123/OM: Outline Application: residential development up to 40 dwellings of which 8 will be affordable","40","10600000","7420000","265000","","","","","https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TDLUGUIVLSU00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
